code,time,mkt,code,K,S,T,CorP,date,rf,IV,sabr,delta,diff,signal,position
510050P2112A03700,2021-05-07 10:00:00,0.3939,510050P2112A03700,3.7,3.457335905,0.6190476190476191,0,2021-05-07,0.02,0.25541651703414797,0.21666626369118366,-0.5696416841829137,0.03875025334296431,-1,0.0
510050P2105M03800,2021-05-07 10:00:00,0.3433,510050P2105M03800,3.8,3.457335905,0.05555555555555555,0,2021-05-07,0.02,0.24703579101219328,0.21344083618977083,-0.9423501470174618,0.033594954822422446,-1,0.0
510050P2105M03900,2021-05-07 10:00:00,0.4484,510050P2105M03900,3.9,3.457335905,0.05555555555555555,0,2021-05-07,0.02,0.350580457168666,0.22748597112100588,-0.9197267577657819,0.1230944860476601,-1,0.0
510050C2112A03800,2021-05-07 10:00:00,0.0912,510050C2112A03800,3.8,3.457335905,0.6190476190476191,1,2021-05-07,0.02,0.18252828351113115,0.23242788452387173,0.30852950819965524,-0.049899601012740574,1,0.1627248410296874
510050C2105M04000,2021-05-07 10:00:00,0.0008,510050C2105M04000,4.0,3.457335905,0.05555555555555555,1,2021-05-07,0.02,0.26458972868134517,0.24116680485924705,0.011045191338446439,0.023422923822098124,-1,-100.0
510050C2112A03100,2021-05-07 10:00:00,0.4027,510050C2112A03100,3.1,3.457335905,0.6190476190476191,1,2021-05-07,0.02,0.10140175529685344,0.19403946111823947,0.9409143888603735,-0.09263770582138603,1,0.053358111820954145
510050P2109M03800,2021-05-07 10:00:00,0.4161,510050P2109M03800,3.8,3.457335905,0.3809523809523809,0,2021-05-07,0.02,0.25354278780090445,0.22461369580954882,-0.6833039282502479,0.028929091991355627,-1,0.0
510050C2105M03300,2021-05-07 10:00:00,0.1671,510050C2105M03300,3.3,3.457335905,0.05555555555555555,1,2021-05-07,0.02,0.15896006435228813,0.15906349669803402,0.9017344243982598,-0.00010343234574589077,0,0.0
510050P2112A03200,2021-05-07 10:00:00,0.1149,510050P2112A03200,3.2,3.457335905,0.6190476190476191,0,2021-05-07,0.02,0.22567392204713552,0.18351048279761337,-0.2762148167138696,0.04216343924952215,-1,0.0
510050P2109M03500,2021-05-07 10:00:00,0.1987,510050P2109M03500,3.5,3.457335905,0.3809523809523809,0,2021-05-07,0.02,0.22348050063524066,0.1819702451312201,-0.4859250454842102,0.04151025550402057,-1,0.0
510050C2109M03000,2021-05-07 10:00:00,0.4618,510050C2109M03000,3.0,3.457335905,0.3809523809523809,1,2021-05-07,0.02,,0.19638263696127334,,,0,0.0
510050C2105M03500,2021-05-07 10:00:00,0.0372,510050C2105M03500,3.5,3.457335905,0.05555555555555555,1,2021-05-07,0.02,0.16642495579894273,0.17271117932678975,0.3956119571591462,-0.0062862235278470235,0,0.0
510050C2109M03300,2021-05-07 10:00:00,0.2378,510050C2109M03300,3.3,3.457335905,0.3809523809523809,1,2021-05-07,0.02,0.15234565537427625,0.17004817410597425,0.7334805463675321,-0.017702518731698008,0,0.0
510050P2112A03900,2021-05-07 10:00:00,0.5408,510050P2112A03900,3.9,3.457335905,0.6190476190476191,0,2021-05-07,0.02,0.2653182311412161,0.24817470161914143,-0.6603624387417858,0.01714352952207468,0,0.0
510050C2112A03300,2021-05-07 10:00:00,0.2774,510050C2112A03300,3.3,3.457335905,0.6190476190476191,1,2021-05-07,0.02,0.1511949882699307,0.17826338344347858,0.7105812181415916,-0.027068395173547893,1,0.0706540137748934
510050C2109M03400,2021-05-07 10:00:00,0.1809,510050C2109M03400,3.4,3.457335905,0.3809523809523809,1,2021-05-07,0.02,0.16091980835606695,0.17290355654561873,0.6159046299998029,-0.01198374818955178,0,0.0
510050P2112A03500,2021-05-07 10:00:00,0.255,510050P2112A03500,3.5,3.457335905,0.6190476190476191,0,2021-05-07,0.02,0.2355130227419664,0.18860089747643885,-0.46284135759778144,0.04691212526552754,-1,0.0
510050P2109M03900,2021-05-07 10:00:00,0.5013,510050P2109M03900,3.9,3.457335905,0.3809523809523809,0,2021-05-07,0.02,0.26705728261596096,0.23964823184248102,-0.7265058780411089,0.027409050773479937,-1,0.0
510050C2112A03000,2021-05-07 10:00:00,0.4711,510050C2112A03000,3.0,3.457335905,0.6190476190476191,1,2021-05-07,0.02,,0.2079321407371541,,,0,0.0
510050C2106M04300,2021-05-07 10:00:00,0.0026,510050C2106M04300,4.3,3.457335905,0.13095238095238096,1,2021-05-07,0.02,0.28433321385697036,0.2832331387494804,0.020528841074130832,0.0011000751074899395,0,0.0
510050C2109M03100,2021-05-07 10:00:00,0.3751,510050C2109M03100,3.1,3.457335905,0.3809523809523809,1,2021-05-07,0.02,0.06129526088240792,0.18348758525870773,0.9990453471002887,-0.12219232437629982,1,0.05025338971897208
510050P2112A03300,2021-05-07 10:00:00,0.1545,510050P2112A03300,3.3,3.457335905,0.6190476190476191,0,2021-05-07,0.02,0.22864289740381286,0.17826338344347858,-0.3380919619315067,0.05037951396033427,-1,0.0
510050P2106M04300,2021-05-07 10:00:00,0.8551,510050P2106M04300,4.3,3.457335905,0.13095238095238096,0,2021-05-07,0.02,0.4347486392506161,0.2832331387494804,-0.9016668654997086,0.15151550050113566,-1,0.0
510050C2105M03900,2021-05-07 10:00:00,0.001,510050C2105M03900,3.9,3.457335905,0.05555555555555555,1,2021-05-07,0.02,0.23107381715517847,0.22748597112100588,0.015216341993193612,0.003587846034172587,0,0.0
510050C2105M03100,2021-05-07 10:00:00,0.358,510050C2105M03100,3.1,3.457335905,0.05555555555555555,1,2021-05-07,0.02,0.14648687105685027,0.16939863230644733,0.9993343697825117,-0.022911761249597068,1,0.050238855675185976
510050P2109M04000,2021-05-07 10:00:00,0.59,510050P2109M04000,4.0,3.457335905,0.3809523809523809,0,2021-05-07,0.02,0.28127494687019594,0.254332265556148,-0.7608739110218083,0.026942681314047923,-1,0.0
510050C2105M03200,2021-05-07 10:00:00,0.261,510050C2105M03200,3.2,3.457335905,0.05555555555555555,1,2021-05-07,0.02,0.1242519839672622,0.16149378653322638,0.9964662700189335,-0.03724180256596418,1,0.050383456706269245
510050P2105M03200,2021-05-07 10:00:00,0.0025,510050P2105M03200,3.2,3.457335905,0.05555555555555555,0,2021-05-07,0.02,0.19152853421969304,0.16149378653322638,-0.039157588813853894,0.030034747686466662,-1,0.0
510050C2106M04100,2021-05-07 10:00:00,0.0028,510050C2106M04100,4.1,3.457335905,0.13095238095238096,1,2021-05-07,0.02,0.23358671512955403,0.25773374813693534,0.025966988215664153,-0.024147033007381302,1,1.9334323548724437
510050C2109M03500,2021-05-07 10:00:00,0.1378,510050C2109M03500,3.5,3.457335905,0.3809523809523809,1,2021-05-07,0.02,0.17083937521435338,0.1819702451312201,0.503456724627405,-0.011130869916866709,0,0.0
510050P2112A03000,2021-05-07 10:00:00,0.0575,510050P2112A03000,3.0,3.457335905,0.6190476190476191,0,2021-05-07,0.02,0.22161211101976572,0.2079321407371541,-0.1655438228921704,0.013679970282611614,0,0.0
510050P2109M04300,2021-05-07 10:00:00,0.89,510050P2109M04300,4.3,3.457335905,0.3809523809523809,0,2021-05-07,0.02,0.3629004716334408,0.2955115631726916,-0.796103168658645,0.06738890846074919,-1,0.0
510050P2109M03300,2021-05-07 10:00:00,0.1024,510050P2109M03300,3.3,3.457335905,0.3809523809523809,0,2021-05-07,0.02,0.21617912829638306,0.17004817410597425,-0.3181473581203056,0.0461309541904088,-1,0.0
510050C2105M03400,2021-05-07 10:00:00,0.0878,510050C2105M03400,3.4,3.457335905,0.05555555555555555,1,2021-05-07,0.02,0.16011346021960687,0.16317947904702224,0.6884387706303797,-0.003066018827415362,0,0.0
510050C2109M04000,2021-05-07 10:00:00,0.0283,510050C2109M04000,4.0,3.457335905,0.3809523809523809,1,2021-05-07,0.02,0.19613055350690908,0.254332265556148,0.13986675885612754,-0.058201712049238935,1,0.3589517308140372
510050C2109M03200,2021-05-07 10:00:00,0.3,510050C2109M03200,3.2,3.457335905,0.3809523809523809,1,2021-05-07,0.02,0.12697614928820677,0.17407275702415553,0.8693531423322205,-0.04709660773594876,1,0.05775031196191467
510050P2109M03400,2021-05-07 10:00:00,0.1464,510050P2109M03400,3.4,3.457335905,0.3809523809523809,0,2021-05-07,0.02,0.22014414466441798,0.17290355654561873,-0.4024207357984424,0.04724058811879925,-1,0.0
510050P2109M04100,2021-05-07 10:00:00,0.7051,510050P2109M04100,4.1,3.457335905,0.3809523809523809,0,2021-05-07,0.02,0.3329076099978585,0.26855607768445816,-0.7548751029608027,0.06435153231340035,-1,0.0
510050P2112A03400,2021-05-07 10:00:00,0.2006,510050P2112A03400,3.4,3.457335905,0.6190476190476191,0,2021-05-07,0.02,0.2312753234926353,0.18005097109886806,-0.40093645880466666,0.05122435239376724,-1,0.0
510050P2106M04400,2021-05-07 10:00:00,0.9616,510050P2106M04400,4.4,3.457335905,0.13095238095238096,0,2021-05-07,0.02,0.4985411799533468,0.29528699446877993,-0.8909735295342044,0.20325418548456686,-1,0.0
